meta_id,effect_size_type,description,study_short,study_long,effect_size,ci_lower,ci_upper,num_training_sessions,doi
hofmann2016,hedge's g,training children's theory of mind,"Begeer et al., 2011","Begeer S, Gevers C, Clifford P, Verhoeve M, Kat K, Hoddenbach E, Boer F. Theory of mind training in children with autism: A randomized controlled trial. Journal of Autism and Developmental Disorders. 2011; 41(8):997–1006. doi: http://dx.doi.org/10.1007/s10803-010-1121-9. [PubMed: 20976617]",0.66,0.002,1.318,16,10.1007/s10803-010-1121-9
,,,"Begeer et al, 2015","Begeer S, Howlin P, Hoddenbach E, Clauser C, Lindauer R, Clifford P, Gevers C, Boer F, Koot HM. Effects and moderators of a short theory of mind intervention for children with autism spectrum disorders: A randomized controlled trial. Autism Research. 201510.1002/aur.1489",0.264,-0.134,0.662,8,NA
,,,"Brockmeyer, 2010 (a)",Brockmeyer C. Re-reading the relationship between narrative and theory of mind: The effects of narrative training on the developing understanding of mind. Dissertation Abstract International: Section B: The Sciences and Engineering. 2010; 70(9):5863.,1.211,0.395,2.027,12,NA
,,,"Brockmeyer, 2010 (b)",Brockmeyer C. Re-reading the relationship between narrative and theory of mind: The effects of narrative training on the developing understanding of mind. Dissertation Abstract International: Section B: The Sciences and Engineering. 2010; 70(9):5863.,1.267,0.487,2.046,12,NA
,,,Carbonero et al 2013,"Carbonero Martín MÁ, Sâiz Manzanares MC, Román Sanchez JM. Effect of a metacognitive training program of mentalist skills. Psicothema. 2013; 25:31–37. [PubMed: 23336540]",1.017,0.12,1.93,12,NA
,,,"Cerruto, 1999",Cerruto A. The effects of training on theory of mind tasks with children who are deaf. Dissertation Abstract International: Section B: The Sciences and Engineering. 1999; 60(5-B):2383.,1.029,0.365,1.694,2,NA
,,,"Guajardo & Watson, 2002 (Study 1)","Guajardo NR, Watson AC. Narrative discourse and theory of mind development. The Journal of Genetic Psychology: Research and Theory on Human Development. 2002; 163(3):305–325. doi: http://dx.doi.org/10.1080/00221320209598686.",0.183,-0.45,0.816,2020-12-15 00:00:00,10.1080/00221320209598686
,,,"Guajardo & Watson, 2002 (Study 2)","Guajardo NR, Watson AC. Narrative discourse and theory of mind development. The Journal of Genetic Psychology: Research and Theory on Human Development. 2002; 163(3):305–325. doi: http://dx.doi.org/10.1080/00221320209598686.",0.537,0.002,1.073,13-15,10.1080/00221320209598686
,,,"Hadwin et al, 1996","Hadwin J, Baron-Cohen S, Howlin P, Hill K. Can we teach children with autism to understand emotions, belief, or pretence? Development and Psychopathology. 1996; 8(2):345–365. doi: http://dx.doi.org/10.1017/S0954579400007136.",0.429,-0.42,1.279,8,10.1017/S0954579400007136
,,,"Hale & Tager-Flusberg, 2003 (a)","Hale CM, Tager-Flusberg H. The influence of language on theory of mind: A training study. Developmental Science. 2003; 6(3):346–359. doi: http://dx.doi.org/10.1111/1467-7687.00289. [PubMed: 16467908]",2.265,1.48,3.049,2,10.1111/1467-7687.00289
,,,"Hale & Tager-Flusberg, 2003 (b)","Hale CM, Tager-Flusberg H. The influence of language on theory of mind: A training study. Developmental Science. 2003; 6(3):346–359. doi: http://dx.doi.org/10.1111/1467-7687.00289. [PubMed: 16467908]",2.168,1.396,2.939,2,10.1111/1467-7687.00289
,,,"Howard, 2008",,0.186,-0.589,0.96,2,NA
,,,"Kloo & Perner, 2003","Kloo D, Perner J. Training transfer between card sorting and false belief understanding: Helping children apply conflicting descriptions. Child Development. 2003; 74(6):1823–1839. doi: http://dx.doi.org/10.1046/j.1467-8624.2003.00640.x. [PubMed: 14669898]",0,-0.696,0.696,4,10.1046/j.1467-8624.2003.00640.x
,,,Lecce et al 2012,"Lecce S, Caputi M, Hughes C. Does sensitivity to criticism mediate the relationship between theory of mind and academic achievement? Journal of Experimental Child Psychology. 2011; 110(3):313–331. doi: http://dx.doi.org/10.1016/j.jecp.2011.04.011. [PubMed: 21624614]",1.064,0.628,1.5,2,10.1016/j.jecp.2011.04.011
,,,Lecce et al 2014,"Lecce S, Bianco F, Devine RT, Hughes C, Banerjee R. Promoting theory of mind during middle childhood: A training program. Journal of Experimental Child Psychology. 2014; 126:52–67.10.1016/j.jecp.2014.03.002 [PubMed: 24892882]",0.82,0.307,1.333,NA,
